mal_idx,mal,policy,ta_mean,ta_min,ta_max,cost_mean,cost_min,cost_max
0,0,F0,-2.2616,-2.2616,-2.2616,1.5719,1.5719,1.5719
0,0,F10,-5.5082,-5.6821,-5.2349,3.4817,3.4754,3.4890
0,0,F30,-37.7779,-39.7225,-35.5012,7.3390,7.2641,7.3814
1,25,F0,22.4933,21.9947,22.8840,-4.8670,-5.0527,-4.7626
1,25,F10,23.5438,22.6148,24.6178,-1.3784,-1.5200,-1.1613
1,25,F30,22.3329,21.7263,22.6919,4.9839,4.7700,5.1761
2,50,F0,39.8396,37.4936,41.4096,-9.0544,-9.6366,-8.3827
2,50,F10,39.4470,37.5714,40.8091,-5.4172,-5.8471,-4.9473
2,50,F30,36.7920,35.9532,38.3550,2.1404,1.9842,2.2985
3,75,F0,51.5422,51.0470,52.1960,-9.5622,-9.6835,-9.4290
3,75,F10,50.2136,49.6737,50.5113,-5.8294,-5.8571,-5.7969
3,75,F30,46.3693,45.8464,46.8147,1.6958,1.6134,1.7926
4,100,F0,62.4877,62.4593,62.5019,-9.6063,-9.6229,-9.5731
4,100,F10,61.1454,60.8382,61.5684,-5.8832,-5.8993,-5.8710
4,100,F30,54.9368,54.7436,55.0982,1.6426,1.6322,1.6546
