mal_idx,mal,policy,ta_mean,ta_min,ta_max,cost_mean,cost_min,cost_max
0,0,F0,-0.4043,-0.4043,-0.4042,0.0524,0.0524,0.0524
0,0,F10,-6.4841,-14.6781,-1.5629,3.5460,3.4157,3.7710
0,0,F30,-3.8739,-7.4907,-0.2151,8.8637,8.5644,9.1535
1,25,F0,-19.1564,-23.8550,-15.2878,-3.8734,-3.9057,-3.8127
1,25,F10,8.2303,5.3211,12.7358,-0.2845,-0.2960,-0.2657
1,25,F30,14.0490,8.3713,17.2995,7.5384,7.0976,8.0890
2,50,F0,-16.5012,-26.2376,-1.9613,-3.9064,-3.9166,-3.9008
2,50,F10,8.6593,-4.1351,20.5503,-0.2523,-0.2796,-0.2180
2,50,F30,20.9470,19.3569,23.9042,7.0052,6.6671,7.2652
3,75,F0,14.3029,5.5981,20.1741,-3.9068,-3.9202,-3.8806
3,75,F10,27.5079,23.3729,29.5757,-0.2668,-0.3494,-0.2213
3,75,F30,22.9182,5.2697,31.7437,6.7895,6.4009,7.0645
4,100,F0,62.7080,62.7080,62.7081,-3.8630,-3.8630,-3.8628
4,100,F10,61.0903,61.0178,61.2302,-0.2280,-0.2445,-0.2115
4,100,F30,53.0025,52.0534,53.6100,7.0311,6.9272,7.0874
