mal_idx,mal,policy,ta_mean,ta_min,ta_max,cost_mean,cost_min,cost_max
0,0,F0,-0.9771,-1.7033,-0.6139,-0.0763,-0.1100,-0.0090
0,0,F10,-3.8677,-14.3466,7.0148,3.4701,3.4304,3.5233
0,0,F30,10.4551,-1.5705,20.6034,11.3114,9.7822,13.5850
1,25,F0,12.6632,8.1119,16.1129,-1.4309,-1.5054,-1.3711
1,25,F10,35.0434,29.5765,38.1714,2.4529,2.3842,2.5398
1,25,F30,56.2013,46.9664,61.7845,12.6732,12.2012,13.5215
2,50,F0,12.3509,5.4018,16.7836,-1.4601,-1.5070,-1.3726
2,50,F10,25.7129,22.1557,30.1977,2.1683,2.1078,2.2593
2,50,F30,41.8987,32.4862,49.7709,9.9962,9.2287,11.0157
3,75,F0,19.5513,13.3775,28.8519,-1.4881,-1.5296,-1.4285
3,75,F10,24.2322,18.1877,32.2889,2.1413,2.0598,2.3029
3,75,F30,30.0569,21.7990,37.0998,9.1909,8.8716,9.7752
4,100,F0,45.4623,43.9958,46.1955,-1.0480,-1.0926,-0.9589
4,100,F10,26.9774,26.0953,28.6636,2.2291,2.1143,2.4167
4,100,F30,2.4867,-2.8229,5.1764,9.5310,9.2756,9.6801
